lon,lat
168.17666666719165,-16.57250000185269
179.56625000173494,-16.572916670083032
167.53541666665694,-16.5712500003836
179.89083333332314,-16.571250000641612
167.49124999999026,-16.568750000383602
178.8620833333232,-16.556666668188427
167.5470833333237,-16.54250000152024
179.63958333332312,-16.507083333715173
179.64124999999,-16.5037500003819
167.63958333332357,-16.502083333715177
167.5945833333235,-16.496250000381735
167.43791666665695,-16.493750000381397
168.21416666665698,-16.48875000071081
167.777916666657,-16.476250000381185
179.7162499999897,-16.472500001513026
167.81541666665703,-16.467916667047632
168.21958333332384,-16.467083333714186
167.772916666657,-16.46625000038091
145.4087499999912,-16.447083333713806
167.42791666665698,-16.44625000038036
179.1520833333235,-16.438333334843094
167.77458333332356,-16.43375000038003
179.2795833333231,-16.422083333713033
179.26124999999,-16.41708333371298
167.7820833333235,-16.409583333712817
179.31708333332347,-16.40875000037937
179.3387499999899,-16.388750000378877
179.78374999998982,-16.374583333711826
167.7787499999904,-16.370416667045106
179.40458333332333,-16.359583333711498
168.29791666665687,-16.340000001499675
168.0491666672251,-16.338333335118307
167.38333333332378,-16.33625000083572
167.3845833333238,-16.332083333710784
167.72208333332378,-16.32708333371062
179.41708333332303,-16.325000001498097
168.30874999999037,-16.298750000376685
179.53374999998982,-16.26875000037586
167.92416666665713,-16.26708333422448
167.64041666665707,-16.265416667042416
179.57041666665668,-16.25708333370892
179.59458333332327,-16.251250000375364
167.61874999999043,-16.24875000037531
179.6112499999897,-16.247500001490266
167.60458333332383,-16.22750000148818
179.7654166666565,-16.22583333482129
179.82041666665646,-16.222500001487674
167.57958333332385,-16.217916667041038
167.97874999999044,-16.203333334819035
167.55041666665716,-16.194166668151468
167.3895833333238,-16.185416667040386
167.49124999999026,-16.152916667039563
167.2312499999905,-16.148750000372672
167.2912499999902,-16.128750000372293
168.14124999999035,-16.101250000371635
168.16124999999033,-16.099583333704857
167.39166666665722,-16.064583334382235
167.40124999999034,-16.040416667036652
167.17624999999043,-16.02625000036943
168.2495833333237,-15.995416667035611
167.18624999999042,-15.99125000036878
167.36416666665696,-15.979583334975814
167.34624999999028,-15.970416667034954
168.19374999999047,-15.955416667034456
168.27000000062253,-15.950833334998492
168.19124999999042,-15.945416667034294
168.2637499999903,-15.935416667033962
168.2637499999903,-15.932083333700632
167.3279166666572,-15.931250000367244
168.27041666665707,-15.917083333700193
167.3204166666569,-15.912083333700023
167.1849999999904,-15.897916667840263
167.28208333332373,-15.89708333369964
167.2754166666571,-15.893750001543651
167.21208333332356,-15.887083333699366
168.26791666665713,-15.856250000365208
168.167916666657,-15.82458333369783
168.2429166666568,-15.771666668108535
168.230416666657,-15.743750000362468
168.13791666665713,-15.739583333695748
167.2412499999905,-15.73875000036236
168.22291666665706,-15.7112500003617
167.2312499999905,-15.692083333694429
168.12124999999037,-15.665416667027046
167.25041666665695,-15.663750000360324
166.77291666665724,-15.642916667026554
168.11874999999054,-15.639166668095072
167.16624999999033,-15.626250000359503
168.124166667351,-15.625833334890729
166.8695833333236,-15.62375000035945
166.77958333332413,-15.607083333692287
168.12666666665712,-15.602083334717976
166.90541666665715,-15.597083333691955
166.94041666665714,-15.585416667025186
167.0437499999905,-15.585416667025186
166.77833333332376,-15.583750001397275
166.9512499999903,-15.582083333691742
166.95958333332374,-15.581250000358295
168.1295833333238,-15.581250000358295
166.97208333332355,-15.579583333691572
168.13541666665697,-15.56791666702469
167.1437499999903,-15.558750000357747
168.1462499999907,-15.550416667024194
168.1437499999904,-15.527083333690255
167.22791666665694,-15.520000001416465
167.17124999999032,-15.517916667023483
167.17541666665716,-15.515416667023374
167.19458333332386,-15.514583333689927
166.7112499999905,-15.506250000356433
167.2312499999905,-15.478750000355603
167.2170833333238,-15.461250000355278
167.21791666665695,-15.450416667021614
167.1887499999907,-15.380416667019915
167.1912499999903,-15.376250000353082
167.93958333332353,-15.358750000352757
167.94958333332352,-15.342916667018926
167.17958333332354,-15.330416667018651
167.1787499999906,-15.327500001397029
167.97999999999035,-15.307083334915148
167.8695833333236,-15.299583333684325
167.9029166666569,-15.28708333368428
